lon,lat,sedimentation_rate
170.5,-28.5,0.4305895708967
-66.5,-72.5,1.94611598271877
-98.5,-72.5,2.39203171804547
110.5,-49.5,0.310717179672793
49.5,7.5,2.44092824868858
65.5,-38.5,0.178603295353241
96.5,10.5,1.6247236635536
-108.5,-57.5,0.31580388895236
159.5,45.5,0.118832787848078
-177.5,23.5,0.124864352983423
157.5,-41.5,0.608137575909495
109.5,81.5,2.20605125650764
67.5,-11.5,0.333831936586648
-122.5,-54.5,0.225185460294597
-127.5,71.5,2.0630769431591
27.5,76.5,1.04581972118467
-27.5,30.5,0.245632661972195
-22.5,21.5,0.758012640289962
-71.5,25.5,1.06271507684141
111.5,-49.5,0.308531743939966
57.5,18.5,1.92333664745092
121.5,7.5,1.3044448569417
34.5,77.5,0.99863507784903
30.5,76.5,1.12128432374448
-16.5,69.5,1.23651523608714
-66.5,61.5,1.85758352745324
47.5,30.5,2.25402461364865
34.5,-49.5,0.274318095762283
53.5,-45.5,0.216021988308057
-178.5,37.5,0.115012684545945
-121.5,-9.5,0.188803984201513
81.5,-18.5,0.158361828653142
160.5,-60.5,0.545123417396098
42.5,-32.5,0.419373682234436
173.5,-54.5,0.265351234702393
115.5,-33.5,2.41124629974365
138.5,28.5,0.888231617864221
-146.5,17.5,0.112638212158345
124.5,-0.5,1.70206662733108
-28.5,30.5,0.223114009713754
37.5,79.5,0.877019134350121
-28.5,68.5,2.54784757271409
78.5,73.5,2.28523882105947
87.5,3.5,0.455614033853635
-179.5,42.5,0.117581221275032
-157.5,80.5,0.671221932861954
-165.5,-81.5,1.92442385014147
139.5,25.5,0.579427636694163
93.5,17.5,2.42532044649124
120.5,-10.5,1.22592900879681
-38.5,-80.5,2.29916349053383
-30.5,40.5,0.356920150807127
146.5,-3.5,0.807638396508992
-36.5,30.5,0.267706287559122
34.5,-28.5,1.55948218889534
164.5,55.5,1.97595614008605
163.5,42.5,0.120341901492793
-33.5,44.5,0.441683252574876
6.5,42.5,1.47520564496517
7.5,76.5,1.12638284917921
-87.5,21.5,1.92996370606124
-13.5,27.5,1.26254779752344
179.5,-16.5,0.400326040107757
129.5,-5.5,1.45017949398607
-102.5,75.5,1.7865359550342
65.5,1.5,0.316740915877745
117.5,79.5,1.56380305998027
98.5,-57.5,0.554093741811812
-107.5,80.5,1.75313476938754
-126.5,-47.5,0.169515682500787
-159.5,46.5,0.123138161143288
-157.5,-27.5,0.110570625110995
-170.5,64.5,2.22065206617117
-10.5,-53.5,0.223649563849904
14.5,69.5,1.77838304080069
-177.5,-73.5,1.28140626475215
7.5,-31.5,0.574650301132351
66.5,70.5,2.21056933514774
149.5,13.5,0.0944011990213767
-111.5,18.5,0.649216817691922
-175.5,-28.5,0.100322882644832
-6.5,44.5,2.15432629920542
176.5,-59.5,0.254684477113187
-96.5,-12.5,0.223097245907411
77.5,-34.5,0.240164576098323
-150.5,-45.5,0.104654405731708
22.5,81.5,1.02242536377162
110.5,-22.5,2.04278342425823
-97.5,-71.5,2.06015142612159
179.5,47.5,0.126456390717067
56.5,-3.5,0.295615376671776
58.5,-62.5,1.91471993457526
-33.5,-2.5,1.01465138141066
-143.5,16.5,0.10213131463388
-166.5,24.5,0.11131936480524
-83.5,-73.5,2.34383973293006
143.5,80.5,0.957996991928667
-136.5,6.5,0.149081795825623
-1.5,-38.5,0.18512450333219
-122.5,14.5,0.170193496160209
62.5,20.5,0.878782302606851
-25.5,36.5,0.291827018372715
-144.5,7.5,0.129518884932622
93.5,-48.5,0.32746564829722
-152.5,-46.5,0.121721219329629
143.5,-57.5,0.843575689941645
157.5,-36.5,0.528598146047443
-106.5,-23.5,0.253870181040838
70.5,-42.5,0.261019275058061
-36.5,61.5,1.4987523900345
-7.5,-33.5,0.28024023049511
25.5,-39.5,0.913358409889042
-113.5,5.5,0.195318250916898
-159.5,11.5,0.114574511826504
171.5,-20.5,0.259715190622956
32.5,71.5,2.02331691980362
-31.5,1.5,0.398113450501114
125.5,-7.5,1.47208385169506
-62.5,-76.5,2.35577300190926
95.5,7.5,2.02352833002806
94.5,-55.5,0.498850073199719
-148.5,-37.5,0.119023454317357
71.5,-34.5,0.210843427339569
25.5,38.5,2.19316966831684
-133.5,32.5,0.169243474374525
42.5,14.5,2.69999750889838
84.5,-14.5,0.235931831412017
-155.5,7.5,0.109444401459768
149.5,-13.5,1.49562547449023
-32.5,-32.5,0.325486587826163
-48.5,-61.5,1.73731846734881
137.5,-36.5,1.95563468150795
9.5,73.5,1.13110395614058
-21.5,-1.5,0.318490783683956
-170.5,48.5,0.0931174436118454
-103.5,-23.5,0.235220781178214
-12.5,2.5,0.802143418695778
28.5,32.5,1.8044039607048
-168.5,-16.5,0.105532119050622
70.5,-63.5,1.88211444765329
-1.5,66.5,1.57502037473023
-167.5,-48.5,0.189873244380578
108.5,11.5,1.88686070032418
-117.5,-29.5,0.243901522480883
-85.5,66.5,2.71815131418407
-29.5,-66.5,0.579783401917666
-10.5,42.5,2.31390120461583
-160.5,74.5,1.61234883125871
164.5,-18.5,0.44045242248103
-119.5,0.5,0.17813453450799
134.5,-7.5,1.71613309066743
176.5,5.5,0.0973873175098561
25.5,-67.5,1.27101480029523
134.5,-60.5,1.27061840612441
178.5,-8.5,0.102920726931188
-32.5,-74.5,1.54718663543463
-132.5,80.5,1.25041231513023
113.5,-17.5,1.37646298389882
109.5,-20.5,1.64428632706404
15.5,56.5,2.79572093859315
25.5,-63.5,0.80640020314604
175.5,-13.5,0.243482616497204
-141.5,-42.5,0.122199155157432
-169.5,68.5,1.82012747973204
139.5,18.5,0.285108602838591
-96.5,-60.5,0.262797402683646
-137.5,15.5,0.134840491227806
176.5,9.5,0.117826079076622
-24.5,-55.5,0.207530800253153
-80.5,-59.5,0.303567125229165
-135.5,17.5,0.119732329039834
60.5,-58.5,0.613579584751278
168.5,-41.5,1.60693295765668
169.5,-31.5,0.682575220707804
-41.5,1.5,0.984381535090506
-72.5,41.5,2.79084360226989
-50.5,60.5,1.81716762017459
-167.5,48.5,0.103832797321957
-14.5,-34.5,0.274841324426234
-1.5,-28.5,0.270164193352684
-174.5,46.5,0.128752071759664
168.5,78.5,1.34459824766964
-15.5,37.5,1.42867711838335
-26.5,-13.5,0.279333151411265
-153.5,27.5,0.0996976086753421
88.5,7.5,0.455367786344141
162.5,72.5,1.55784504022449
66.5,-30.5,0.204506330192089
91.5,-56.5,0.489376310724765
150.5,81.5,0.527519092429429
-60.5,70.5,1.92047562450171
-88.5,60.5,1.67090178001672
62.5,0.5,0.328606809489429
164.5,25.5,0.118141935672611
-162.5,-56.5,0.285729678580537
-82.5,60.5,1.9122704397887
139.5,-50.5,0.610384508036077
-171.5,-22.5,0.107457984995563
46.5,67.5,2.75589851662517
86.5,10.5,0.576816033571959
-49.5,3.5,1.98399019427598
-177.5,45.5,0.112626810732763
130.5,41.5,1.88050989527255
-137.5,19.5,0.13060298806522
29.5,-31.5,2.02879286371171
-17.5,38.5,0.851513119414449
-28.5,-33.5,0.229743323870935
142.5,-65.5,2.17175181023777
-5.5,-39.5,0.224470888497308
-102.5,16.5,0.277890532743186
-162.5,-36.5,0.101348290627357
-17.5,-37.5,0.302676751744002
119.5,80.5,1.50982569903135
-99.5,-41.5,0.201213348191232
15.5,-56.5,0.241877758526243
-0.5,-17.5,0.272748759016395
-18.5,-9.5,0.290513213258237
-1.5,-71.5,2.49496405012906
-168.5,51.5,1.45732262171805
20.5,74.5,1.62535801064223
-142.5,-75.5,2.13984935544431
-2.5,3.5,2.05015973187983
49.5,-66.5,2.12472188286483
-117.5,25.5,0.977871473878622
135.5,27.5,0.411860964959487
21.5,64.5,2.22586165182292
31.5,-42.5,0.329960836097598
100.5,5.5,2.39625200629234
-89.5,-42.5,0.258258660323918
165.5,-59.5,0.364417734090239
-124.5,27.5,0.174766813870519
-80.5,-35.5,0.15685343532823
-14.5,-74.5,1.51646556332707
85.5,-60.5,0.748007674701512
-47.5,-25.5,2.14436743408442
-42.5,-69.5,1.11477286554873
-19.5,48.5,1.02939561475068
31.5,-57.5,0.42146592750214
-162.5,-3.5,0.121076140203513
99.5,-37.5,0.345355801982805
42.5,-22.5,2.14777840301394
-52.5,-52.5,0.608524424023926
144.5,-65.5,1.93126872181892
69.5,68.5,1.92509836051613
173.5,-50.5,1.22846988961101
40.5,66.5,2.10908218286932
85.5,12.5,0.736126734409481
-161.5,-3.5,0.111253815703094
-70.5,32.5,0.610097020398825
147.5,47.5,1.07972556725144
-89.5,11.5,1.16677768528461
-113.5,14.5,0.296273647109047
160.5,32.5,0.096231626230292
-83.5,-10.5,0.373828283045441
-61.5,21.5,0.379275094019249
-74.5,66.5,2.03439686447382
58.5,-61.5,1.48760504089296
-26.5,-16.5,0.279352621873841
-107.5,-11.5,0.250633631367236
-135.5,1.5,0.146500373375602
25.5,-70.5,2.13394523598254
45.5,1.5,1.98737299069762
0.5,-11.5,0.308910122839734
-175.5,-72.5,1.05655624065548
-103.5,11.5,0.370194524293765
169.5,-61.5,0.358754303306341
-39.5,12.5,0.298758153803647
173.5,-51.5,1.12784968223423
-57.5,59.5,1.31405703723431
-61.5,-57.5,0.697017181664705
-65.5,-62.5,2.31090374290943
-124.5,32.5,0.783422903623432
-52.5,51.5,1.6124959802255
-153.5,-19.5,0.119420677947346
153.5,-17.5,1.50721298996359
117.5,-4.5,2.1247046533972
100.5,-43.5,0.365375686669722
-179.5,-0.5,0.114189038868062
153.5,15.5,0.0881582018337213
92.5,-10.5,0.216718486626633
-48.5,-36.5,0.976580777205527
151.5,-38.5,1.65434542577714
-111.5,23.5,1.22079846914858
10.5,36.5,2.50260508619249
131.5,32.5,1.82155414950103
137.5,3.5,0.316384655889124
-116.5,28.5,1.04731926694512
125.5,-48.5,0.364929001079872
-127.5,33.5,0.160750787472352
76.5,-58.5,0.660930818412453
130.5,2.5,1.18195253890008
40.5,-65.5,1.95669126696885
-129.5,16.5,0.18841220298782
-28.5,-67.5,0.717658898793161
-43.5,-76.5,1.46086246240884
-144.5,54.5,0.17509724420961
-82.5,-73.5,2.15001869946718
42.5,-64.5,1.56527513172477
-153.5,-22.5,0.0957965748966672
128.5,13.5,0.673200644087046
-13.5,9.5,1.96352833881974
-50.5,18.5,0.315375917125493
-165.5,29.5,0.104848528280854
154.5,-47.5,0.857862294651568
122.5,81.5,1.28376553766429
-149.5,70.5,2.56810896098614
72.5,-65.5,1.6102580120787
5.5,54.5,2.08508456125855
150.5,48.5,1.17570685688406
-102.5,74.5,1.99696095660329
-26.5,72.5,3.01859970204532
-158.5,40.5,0.108205451397225
-41.5,42.5,0.975320523139089
146.5,-57.5,0.613497337326407
1.5,72.5,0.900250975973904
111.5,-57.5,0.632198643870652
-25.5,-62.5,0.391029345337302
-19.5,51.5,1.47276977077127
-27.5,66.5,1.30295322742313
118.5,-1.5,1.61348679102957
-55.5,33.5,0.323263520840555
137.5,-16.5,2.19696550630033
63.5,76.5,1.61925540305674
86.5,-63.5,1.76372705027461
107.5,-2.5,1.98219111189246
155.5,-28.5,1.76005833782256
-172.5,-61.5,0.389442691812292
8.5,53.5,2.3612747900188
-173.5,-27.5,0.126112790894695
-18.5,-25.5,0.250613171374425
-153.5,3.5,0.120610762678552
175.5,12.5,0.106193474493921
159.5,72.5,1.71913590747863
-11.5,-3.5,0.321107043419033
-113.5,-1.5,0.191245693713427
26.5,-68.5,1.73281203024089
139.5,1.5,1.36180664412677
-47.5,-60.5,1.12113729119301
-115.5,-50.5,0.277487008133903
-133.5,-22.5,0.186900317203254
-99.5,3.5,0.217061286093667
-85.5,22.5,2.26983288303018
176.5,-69.5,1.06041110120714
-161.5,-67.5,0.424025754909962
110.5,5.5,1.56504998449236
-162.5,36.5,0.0965867366176099
-106.5,75.5,1.88017182517797
-82.5,-4.5,1.50261400267482
86.5,-41.5,0.341384642524645
-118.5,8.5,0.208604469662532
-108.5,20.5,1.89663679338992
-78.5,62.5,1.67710985988379
-46.5,-76.5,1.8977930303663
142.5,-3.5,1.81990209966898
-43.5,-80.5,1.72130402643234
38.5,64.5,2.42695491760969
-20.5,-31.5,0.302701897453517
-26.5,-35.5,0.245983130298555
-162.5,41.5,0.130445638205856
68.5,22.5,2.15245131403208
-46.5,-45.5,0.487651530420408
-41.5,13.5,0.284991489024833
62.5,-37.5,0.150980733451433
-179.5,-1.5,0.123262871056795
-77.5,8.5,2.0887847058475
-13.5,46.5,1.43082009162754
71.5,-29.5,0.218720015254803
-126.5,-34.5,0.204413750907406
-163.5,8.5,0.122484532766975
-120.5,71.5,2.51475279219449
-176.5,-76.5,1.19318487122655
-123.5,-74.5,2.51306244172156
-135.5,16.5,0.126417799037881
-81.5,-63.5,0.449184968601912
95.5,14.5,2.04554386436939
-118.5,-11.5,0.226026328164153
99.5,-6.5,1.07027986086905
-13.5,-64.5,0.484068150399253
-22.5,-47.5,0.237941028899513
-165.5,67.5,2.232123631984
-72.5,-68.5,1.98860978707671
38.5,74.5,1.21850264258683
-20.5,-6.5,0.293299206532538
-37.5,-41.5,0.246674928348511
131.5,-42.5,0.517494569066912
-37.5,32.5,0.325926317600533
-152.5,-50.5,0.152113367221318
-134.5,72.5,2.15163524262607
-70.5,78.5,2.03730398789048
94.5,-28.5,0.220590198296122
51.5,-37.5,0.287804286926985
-0.5,-34.5,0.249747390625998
98.5,2.5,2.01106118038297
-133.5,45.5,0.193462576135062
4.5,-54.5,0.290922704152763
-175.5,78.5,1.36049406137317
-178.5,16.5,0.123694553622045
148.5,-11.5,1.63002393674105
95.5,-48.5,0.330855109496042
-77.5,-69.5,1.41681171953678
-28.5,-24.5,0.26746978983283
-161.5,-43.5,0.154724068124779
-133.5,-23.5,0.181371957296506
48.5,-7.5,0.63896895153448
99.5,11.5,2.74648331105709
-52.5,-69.5,2.0717759616673
129.5,-54.5,0.43180157081224
-64.5,-51.5,1.68271991424263
-118.5,28.5,0.910755770746619
123.5,-12.5,1.84657296631485
-81.5,68.5,2.24868254736066
154.5,82.5,1.61420542281121
-141.5,38.5,0.141902142786421
71.5,-55.5,0.394758972106501
-84.5,65.5,2.23739491775632
-5.5,-12.5,0.250363955274224
169.5,77.5,0.843453512061387
-54.5,9.5,1.70094659551978
-72.5,23.5,1.70895166229457
153.5,71.5,2.16086045838892
115.5,-58.5,0.636487093288451
178.5,19.5,0.118176409159787
-25.5,66.5,1.66370463557541
-155.5,12.5,0.0947078660828993
-167.5,-42.5,0.129230174934492
